-13.0135000,-12.9885000,-38.5405000,-38.4969000
99378002,-13.0098771,-38.5194130
99379280,-13.0102350,-38.5177943
99380987,-13.0058525,-38.5332039
99382000,-13.0112319,-38.5240994
99383831,-13.0110365,-38.5096245
99384457,-13.0001155,-38.5313910
99384780,-13.0104458,-38.5220823
99385606,-13.0124447,-38.4922109
99386511,-13.0120191,-38.5077577
99387413,-13.0007829,-38.5326810
99387924,-13.0111903,-38.5141329
99389781,-13.0120191,-38.4989708
99390513,-13.0112769,-38.5117810
99392211,-13.0107869,-38.5320765
99392746,-13.0116895,-38.4961082
99393503,-13.0103270,-38.5162579
99395143,-13.0171946,-38.4870503
99396057,-13.0104942,-38.5149104
99396371,-13.0100138,-38.5334063
99397935,-13.0114024,-38.5014492
99399328,-13.0050810,-38.5335860
99400178,-13.0102517,-38.5212275
99400669,-13.0102953,-38.5188894
99401979,-13.0070834,-38.5332378
99402577,-13.0117486,-38.5061213
99404025,-13.0102935,-38.5169961
99405367,-13.0112665,-38.5103434
99406447,-13.0006575,-38.5322871
99407068,-13.0098938,-38.5254297
99409027,-13.0112978,-38.5087984
99410295,-13.0106632,-38.5229149
99411333,-13.0128861,-38.4924169
99413391,-13.0114460,-38.5130811
99415152,-13.0097935,-38.5262795
99415941,-13.0109947,-38.4964710
99416089,-13.0117369,-38.5108905
99418378,-13.0118170,-38.5046702
99418870,-13.0170076,-38.4876726
99419921,-13.0102266,-38.5156829
99422667,-13.0124686,-38.5007303
99422856,-13.0108051,-38.5146593
99423333,-13.0095643,-38.5324917
99424332,-12.9690490,-38.5126294
99424569,-12.9808482,-38.5205526
99425770,-12.9919633,-38.5270432
99426194,-12.9810197,-38.5198568
99427116,-12.9857659,-38.5230521
99427523,-12.9793092,-38.5187687
99432078,-12.9998562,-38.5309103
99435086,-12.9720585,-38.5151835
99435286,-12.9957834,-38.5294855
99436051,-12.9813112,-38.5197121
99436764,-12.9715118,-38.5151901
99437591,-12.9787633,-38.5176105
99438885,-12.9697135,-38.5133018
99438962,-12.9910433,-38.5267171
99439363,-12.9796174,-38.5196318
99442885,-12.9765399,-38.5172208
99444193,-12.9864305,-38.5236047
99444868,-12.9797862,-38.5191375
99445385,-12.9829563,-38.5209014
99448870,-12.9790393,-38.5182113
99450539,-12.9992206,-38.5300177
99450648,-12.9709681,-38.5146064
99451062,-12.9772243,-38.5167179
99452297,-12.9717824,-38.5154507
340233767,-13.0094863,-38.4964228
340233813,-12.9936089,-38.5259150
340233845,-13.0029315,-38.5320762
340233858,-12.9953630,-38.5113999
340233821,-13.0018068,-38.5328963
340233920,-12.9954757,-38.5166883
340233812,-12.9988153,-38.5289080
340233892,-13.0013548,-38.5241327
340233859,-12.9973829,-38.5239410
340233856,-12.9953546,-38.5137244
340233928,-13.0011565,-38.5048233
340233870,-12.9987314,-38.5237117
340233823,-13.0016450,-38.5328726
340233826,-13.0009679,-38.5326410
340233829,-13.0007538,-38.5324349
340233916,-13.0057467,-38.5020634
340233914,-13.0030292,-38.5027719
340233926,-12.9968991,-38.5067716
340233945,-13.0015386,-38.5056666
340233943,-13.0052517,-38.5092160
340233949,-12.9971039,-38.5068623
340233925,-12.9939991,-38.5070654
340233959,-12.9894563,-38.5238742
340233878,-13.0022455,-38.5241441
340233917,-13.0062431,-38.5012239
340233927,-12.9992715,-38.5059455
340233906,-13.0064011,-38.5005919
340233866,-12.9963284,-38.5237781
340233932,-12.9901486,-38.5204622
340234034,-12.9915628,-38.5225374
340233961,-12.9915367,-38.5253011
340233960,-12.9908049,-38.5249363
340234093,-12.9926389,-38.5246692
340233950,-12.9992076,-38.5235097
340234065,-13.0059982,-38.5022923
340234067,-13.0030551,-38.5030523
